type,id,geometry.type,geometry.coordinates,properties.id,properties.aqhi_type,properties.observation_type,properties.location_name_en,properties.location_name_fr,properties.location_id,properties.observation_datetime,properties.observation_datetime_text_en,properties.observation_datetime_text_fr,properties.aqhi,properties.special_notes_en,properties.special_notes_fr,properties.latest
Feature,AQ_OBS-JAGPB-20260307070000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307070000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T07:00:00Z,11:00 PM PST Friday  6 March 2026,11h00 PM HNP vendredi  6 mars 2026,1.61,,,False
Feature,AQ_OBS-JAGPB-20260307060000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307060000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T06:00:00Z,10:00 PM PST Friday  6 March 2026,10h00 PM HNP vendredi  6 mars 2026,1.66,,,False
Feature,AQ_OBS-JAGPB-20260307050000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307050000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T05:00:00Z,9:00 PM PST Friday  6 March 2026,9h00 PM HNP vendredi  6 mars 2026,1.67,,,False
Feature,AQ_OBS-JAGPB-20260307040000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307040000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T04:00:00Z,8:00 PM PST Friday  6 March 2026,8h00 PM HNP vendredi  6 mars 2026,1.95,,,False
Feature,AQ_OBS-JAGPB-20260307030000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307030000,AQHI-Observation,amendment,Fort St. John,Fort St. John,JAGPB,2026-03-07T03:00:00Z,7:00 PM PST Friday  6 March 2026,7h00 PM HNP vendredi  6 mars 2026,2.37,,,False
Feature,AQ_OBS-JAGPB-20260307020000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307020000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T02:00:00Z,6:00 PM PST Friday  6 March 2026,6h00 PM HNP vendredi  6 mars 2026,2.4,,,False
Feature,AQ_OBS-JAGPB-20260307010000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307010000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T01:00:00Z,5:00 PM PST Friday  6 March 2026,5h00 PM HNP vendredi  6 mars 2026,2.24,,,False
Feature,AQ_OBS-JAGPB-20260307000000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307000000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T00:00:00Z,4:00 PM PST Friday  6 March 2026,4h00 PM HNP vendredi  6 mars 2026,1.87,,,False
Feature,AQ_OBS-JAGPB-20260307210000,Point,"[-120.846667, 56.2525]",AQ_OBS-JAGPB-20260307210000,AQHI-Observation,original,Fort St. John,Fort St. John,JAGPB,2026-03-07T21:00:00Z,1:00 PM PST Saturday  7 March 2026,1h00 PM HNP samedi  7 mars 2026,2.48,,,False
Feature,AQ_OBS-JAZBU-20260307230000,Point,"[-122.75, 49.1166666666667]",AQ_OBS-JAZBU-20260307230000,AQHI-Observation,original,Metro Vancouver - SE,Metro Vancouver - sud-est,JAZBU,2026-03-07T23:00:00Z,3:00 PM PST Saturday  7 March 2026,3h00 PM HNP samedi  7 mars 2026,1.58,,,False
Feature,AQ_OBS-JAZBU-20260307220000,Point,"[-122.75, 49.1166666666667]",AQ_OBS-JAZBU-20260307220000,AQHI-Observation,original,Metro Vancouver - SE,Metro Vancouver - sud-est,JAZBU,2026-03-07T22:00:00Z,2:00 PM PST Saturday  7 March 2026,2h00 PM HNP samedi  7 mars 2026,1.56,,,False
Feature,AQ_OBS-JAZBU-20260307210000,Point,"[-122.75, 49.1166666666667]",AQ_OBS-JAZBU-20260307210000,AQHI-Observation,original,Metro Vancouver - SE,Metro Vancouver - sud-est,JAZBU,2026-03-07T21:00:00Z,1:00 PM PST Saturday  7 March 2026,1h00 PM HNP samedi  7 mars 2026,1.54,,,False
Feature,AQ_OBS-JAZBU-20260307200000,Point,"[-122.75, 49.1166666666667]",AQ_OBS-JAZBU-20260307200000,AQHI-Observation,original,Metro Vancouver - SE,Metro Vancouver - sud-est,JAZBU,2026-03-07T20:00:00Z,12:00 PM PST Saturday  7 March 2026,12h00 PM HNP samedi  7 mars 2026,1.5,,,False
